date,daily_excess_return,cumulative_excess_return
2022-01-04,0.004574596881866455,0.004574596881866455
2022-01-05,0.0006085721017518647,0.00518316898361832
2022-01-06,0.0020636217817788546,0.007246790765397174
2022-01-07,-0.0015803957426472545,0.005666395022749919
2022-01-10,0.0011550482242255287,0.006821443246975448
2022-01-11,-0.007860660442419518,-0.00103921719544407
2022-01-12,0.0006438928801654539,-0.0003953243152786161
2022-01-13,-0.002329900190630197,-0.002725224505908813
2022-01-14,0.0019983900187053867,-0.0007268344872034265
2022-01-17,0.005130146080868773,0.004403311593665346
2022-01-18,0.0015265311593475948,0.005929842753012941
2022-01-19,-0.00044431759988359913,0.005485525153129342
2022-01-20,-0.004812189569908067,0.0006733355832212757
2022-01-21,-0.005485193971897244,-0.004811858388675969
2022-01-24,-0.0038331231039325135,-0.008644981492608481
2022-01-25,-0.007860075313766927,-0.016505056806375408
2022-01-26,-0.002979078981691484,-0.019484135788066893
2022-01-27,-0.006598045094384681,-0.026082180882451574
2022-01-28,0.0075861457113120725,-0.0184960351711395
2022-02-07,-0.0014359506770124978,-0.019931985848151996
2022-02-08,0.013384909865486566,-0.006547075982665429
2022-02-09,-0.0004255721201772474,-0.006972648102842677
2022-02-10,0.005413057831596236,-0.0015595902712464407
2022-02-11,-0.00576666004353539,-0.007326250314781831
2022-02-14,-0.007645433780244513,-0.014971684095026343
2022-02-15,0.003805119190543652,-0.01116656490448269
2022-02-16,0.0007786291680663359,-0.010387935736416354
2022-02-17,-0.008821056919758048,-0.0192089926561744
2022-02-18,0.0046023887288503176,-0.014606603927324083
2022-02-21,0.006808746734059831,-0.007797857193264252
2022-02-22,-0.003049940357224491,-0.010847797550488742
2022-02-23,0.0004060073516103409,-0.010441790198878401
2022-02-24,-0.0022324460650449936,-0.012674236263923395
2022-02-25,-0.0027769859630985974,-0.015451222227021992
2022-02-28,-0.004095717155752939,-0.01954693938277493
2022-03-01,-0.002214550256657234,-0.021761489639432162
2022-03-02,0.005836514029157633,-0.01592497561027453
2022-03-03,0.012278225349908094,-0.0036467502603664357
2022-03-04,0.002554592289856749,-0.0010921579705096868
2022-03-07,0.003263379225248025,0.002171221254738338
2022-03-08,-0.009157204311177426,-0.006985983056439088
2022-03-09,-0.008122972936554994,-0.015108955992994083
2022-03-10,-0.004011219245093145,-0.019120175238087227
2022-03-11,0.009141524799909352,-0.009978650438177875
2022-03-14,0.0024275198274711692,-0.007551130610706705
2022-03-15,-0.009627176769442426,-0.01717830738014913
2022-03-16,-0.009151105639512262,-0.026329413019661393
2022-03-17,-0.002333993246269002,-0.028663406265930395
2022-03-18,0.007264186366481138,-0.021399219899449255
2022-03-21,-0.0021070808372086833,-0.023506300736657937
2022-03-22,0.008671112170235555,-0.014835188566422382
2022-03-23,0.002291505153277475,-0.012543683413144907
2022-03-24,0.0023108104518805165,-0.010232872961264391
2022-03-25,0.0062446842353553215,-0.00398818872590907
2022-03-28,0.008501087055156478,0.0045128983292474075
2022-03-29,-0.001456625971882447,0.0030562723573649606
2022-03-30,-0.008447689792814782,-0.005391417435449821
2022-03-31,-0.0009617345195417548,-0.006353151954991576
