run=seed_1729_null_e4_null arm=E4_NULL device=cuda:0 dtype=float64 parameters=361 max_steps=2000
step=20 train_mse=0.192239757361 penalty_total=0.00187153290344 validation_clean_nrmse=1.00317782997 selected=True
step=40 train_mse=0.189225928063 penalty_total=0.00186759030926 validation_clean_nrmse=1.00146687895 selected=False
step=60 train_mse=0.184656818311 penalty_total=0.00186484224534 validation_clean_nrmse=1.00352996083 selected=False
step=80 train_mse=0.191372406983 penalty_total=0.00186277874962 validation_clean_nrmse=1.00619083567 selected=False
step=100 train_mse=0.18693229903 penalty_total=0.00186313140533 validation_clean_nrmse=1.00399777235 selected=False
step=120 train_mse=0.189269407426 penalty_total=0.00185431078886 validation_clean_nrmse=1.00585997871 selected=False
step=140 train_mse=0.186469817729 penalty_total=0.00185909904524 validation_clean_nrmse=1.00428699279 selected=False
step=160 train_mse=0.183488007115 penalty_total=0.00187677785005 validation_clean_nrmse=1.00621611651 selected=False
step=180 train_mse=0.185955865252 penalty_total=0.00186058488101 validation_clean_nrmse=1.00172493983 selected=False
step=200 train_mse=0.185065205154 penalty_total=0.00185222436792 validation_clean_nrmse=1.00463869043 selected=False
step=220 train_mse=0.191780031238 penalty_total=0.00186758665316 validation_clean_nrmse=1.0034923721 selected=False
step=240 train_mse=0.191116657172 penalty_total=0.0018585734021 validation_clean_nrmse=1.00459529494 selected=False
step=260 train_mse=0.191610079138 penalty_total=0.00186215408241 validation_clean_nrmse=1.00270411028 selected=False
step=280 train_mse=0.185627544055 penalty_total=0.0018563016671 validation_clean_nrmse=1.00332422697 selected=False
step=300 train_mse=0.183256547957 penalty_total=0.00184046517225 validation_clean_nrmse=1.00455636101 selected=False
step=320 train_mse=0.181305866523 penalty_total=0.00188414151462 validation_clean_nrmse=1.00588063496 selected=False
step=340 train_mse=0.185011945762 penalty_total=0.00186243892835 validation_clean_nrmse=1.00420701516 selected=False
step=360 train_mse=0.187023019346 penalty_total=0.00184795029298 validation_clean_nrmse=1.00522149234 selected=False
step=380 train_mse=0.192640722669 penalty_total=0.00183270191288 validation_clean_nrmse=1.00467934437 selected=False
step=400 train_mse=0.186813906693 penalty_total=0.00184348225427 validation_clean_nrmse=1.00507998447 selected=False
step=420 train_mse=0.180795336666 penalty_total=0.00183549031847 validation_clean_nrmse=1.00654115943 selected=False
step=440 train_mse=0.182265666707 penalty_total=0.0017877017018 validation_clean_nrmse=1.00378709902 selected=False
step=460 train_mse=0.186795085616 penalty_total=0.00178889703495 validation_clean_nrmse=1.00641329503 selected=False
step=480 train_mse=0.190053707343 penalty_total=0.00177600587232 validation_clean_nrmse=1.00500685564 selected=False
step=500 train_mse=0.187030788843 penalty_total=0.001749107675 validation_clean_nrmse=1.0045989496 selected=False
step=520 train_mse=0.190895947755 penalty_total=0.00173163878528 validation_clean_nrmse=1.00425550326 selected=False
step=540 train_mse=0.185454966978 penalty_total=0.001711744052 validation_clean_nrmse=1.00544252154 selected=False
step=560 train_mse=0.192870191106 penalty_total=0.00167187806648 validation_clean_nrmse=1.00500847352 selected=False
step=580 train_mse=0.1857236978 penalty_total=0.00164906721078 validation_clean_nrmse=1.00480729692 selected=False
step=600 train_mse=0.1885982137 penalty_total=0.0016173805277 validation_clean_nrmse=1.00405715027 selected=False
step=620 train_mse=0.193782232622 penalty_total=0.00159888126004 validation_clean_nrmse=1.00469578386 selected=False
step=640 train_mse=0.180756239389 penalty_total=0.0015693824849 validation_clean_nrmse=1.00592825559 selected=False
step=660 train_mse=0.188338401826 penalty_total=0.0015471242335 validation_clean_nrmse=1.0059776576 selected=False
step=680 train_mse=0.185190508051 penalty_total=0.00151365261982 validation_clean_nrmse=1.00646768721 selected=False
step=700 train_mse=0.186517956302 penalty_total=0.00146698438981 validation_clean_nrmse=1.00498941849 selected=False
step=720 train_mse=0.185506979294 penalty_total=0.00140845658667 validation_clean_nrmse=1.00594274298 selected=False
step=740 train_mse=0.180319894592 penalty_total=0.00140473933385 validation_clean_nrmse=1.00750733631 selected=False
step=760 train_mse=0.188047223546 penalty_total=0.00135893137467 validation_clean_nrmse=1.00561831622 selected=False
step=780 train_mse=0.192439801278 penalty_total=0.00132171772259 validation_clean_nrmse=1.0054559026 selected=False
step=800 train_mse=0.180581414533 penalty_total=0.00129060405228 validation_clean_nrmse=1.00435643246 selected=False
step=820 train_mse=0.185002975889 penalty_total=0.00126142612112 validation_clean_nrmse=1.00422990906 selected=False
step=840 train_mse=0.185046519569 penalty_total=0.00122861099966 validation_clean_nrmse=1.00694809687 selected=False
step=860 train_mse=0.188608189751 penalty_total=0.0011961859175 validation_clean_nrmse=1.00536258972 selected=False
step=880 train_mse=0.182203642395 penalty_total=0.0011237982852 validation_clean_nrmse=1.0036851379 selected=False
step=900 train_mse=0.189175310305 penalty_total=0.00109672804585 validation_clean_nrmse=1.00646038083 selected=False
step=920 train_mse=0.186369487206 penalty_total=0.00107773152908 validation_clean_nrmse=1.00676944123 selected=False
step=940 train_mse=0.183664609453 penalty_total=0.00103579283505 validation_clean_nrmse=1.0079401174 selected=False
step=960 train_mse=0.18333846115 penalty_total=0.00101363652604 validation_clean_nrmse=1.00650738344 selected=False
step=980 train_mse=0.188597612366 penalty_total=0.000980878306196 validation_clean_nrmse=1.00816276245 selected=False
step=1000 train_mse=0.18350494013 penalty_total=0.000951581714922 validation_clean_nrmse=1.00426751119 selected=False
step=1020 train_mse=0.175025923109 penalty_total=0.000915311689702 validation_clean_nrmse=1.00381188304 selected=False
step=1040 train_mse=0.180118704448 penalty_total=0.00087103845623 validation_clean_nrmse=1.00744550334 selected=False
step=1060 train_mse=0.183338904236 penalty_total=0.000834505284788 validation_clean_nrmse=1.0038420745 selected=False
step=1080 train_mse=0.192438159059 penalty_total=0.000815822309348 validation_clean_nrmse=1.00311031951 selected=False
step=1100 train_mse=0.187303421676 penalty_total=0.000783639669138 validation_clean_nrmse=1.0045455114 selected=False
step=1120 train_mse=0.192231716122 penalty_total=0.000755041111194 validation_clean_nrmse=1.0058998087 selected=False
step=1140 train_mse=0.185653760082 penalty_total=0.000722381301087 validation_clean_nrmse=1.0058376168 selected=False
step=1160 train_mse=0.178460553845 penalty_total=0.000709748351325 validation_clean_nrmse=1.00422050918 selected=False
step=1180 train_mse=0.188273228425 penalty_total=0.000650280955717 validation_clean_nrmse=1.00487309296 selected=False
step=1200 train_mse=0.186597914779 penalty_total=0.000642756312522 validation_clean_nrmse=1.00301499583 selected=False
step=1220 train_mse=0.190006227241 penalty_total=0.000591922376522 validation_clean_nrmse=1.00281257714 selected=False
step=1240 train_mse=0.189425752497 penalty_total=0.000542312260107 validation_clean_nrmse=1.008219626 selected=False
step=1260 train_mse=0.189926646517 penalty_total=0.000522873982919 validation_clean_nrmse=1.00708273363 selected=False
step=1280 train_mse=0.185817493243 penalty_total=0.000501698247885 validation_clean_nrmse=1.00311855344 selected=False
step=1300 train_mse=0.183565114008 penalty_total=0.000474632596886 validation_clean_nrmse=1.00957554494 selected=False
step=1320 train_mse=0.18794486309 penalty_total=0.000426934584208 validation_clean_nrmse=1.0073844668 selected=False
step=1340 train_mse=0.188566508215 penalty_total=0.000396197052531 validation_clean_nrmse=1.00269124131 selected=False
step=1360 train_mse=0.186723243654 penalty_total=0.000370892345037 validation_clean_nrmse=1.00519863728 selected=False
step=1380 train_mse=0.18661529611 penalty_total=0.000348106983135 validation_clean_nrmse=1.00353237049 selected=False
step=1400 train_mse=0.183967924281 penalty_total=0.000337267771025 validation_clean_nrmse=1.00757287364 selected=False
step=1420 train_mse=0.189254487888 penalty_total=0.000297676084222 validation_clean_nrmse=1.00313048146 selected=False
step=1440 train_mse=0.184495607133 penalty_total=0.000283123614627 validation_clean_nrmse=1.00814184214 selected=False
step=1460 train_mse=0.188152389272 penalty_total=0.000261906817717 validation_clean_nrmse=1.00359338376 selected=False
step=1480 train_mse=0.189170982407 penalty_total=0.000243519614182 validation_clean_nrmse=1.00343749525 selected=False
step=1500 train_mse=0.187612601691 penalty_total=0.000231007389659 validation_clean_nrmse=1.00408773493 selected=False
step=1520 train_mse=0.184317855332 penalty_total=0.000223072720408 validation_clean_nrmse=1.00736896787 selected=False
step=1540 train_mse=0.188254573057 penalty_total=0.000174305718568 validation_clean_nrmse=1.00538285465 selected=False
step=1560 train_mse=0.191566560339 penalty_total=0.000182743471636 validation_clean_nrmse=1.01148025971 selected=False
