run=seed_31415_null_e4_null arm=E4_NULL device=cuda:0 dtype=float64 parameters=361 max_steps=2000
step=1200 train_mse=0.186701781503 penalty_total=0.000833795032751 validation_clean_nrmse=1.00981059714 selected=False
step=1220 train_mse=0.179301273545 penalty_total=0.000794760613292 validation_clean_nrmse=1.00484701073 selected=False
step=1240 train_mse=0.187524779952 penalty_total=0.000744347427975 validation_clean_nrmse=1.00810367841 selected=False
step=1260 train_mse=0.187345992803 penalty_total=0.000711685137813 validation_clean_nrmse=1.00572215093 selected=False
step=1280 train_mse=0.182507501834 penalty_total=0.000670694957671 validation_clean_nrmse=1.00855004747 selected=False
step=1300 train_mse=0.180872307212 penalty_total=0.000621078337963 validation_clean_nrmse=1.0063786682 selected=False
step=1320 train_mse=0.183173065229 penalty_total=0.00060769715036 validation_clean_nrmse=1.0092550623 selected=False
step=1340 train_mse=0.183381926766 penalty_total=0.000548408893303 validation_clean_nrmse=1.00968399443 selected=False
step=1360 train_mse=0.181159107239 penalty_total=0.000537740550482 validation_clean_nrmse=1.00738995705 selected=False
step=1380 train_mse=0.17728191685 penalty_total=0.000486585510219 validation_clean_nrmse=1.00559587702 selected=False
step=1400 train_mse=0.180153873153 penalty_total=0.00044175140516 validation_clean_nrmse=1.00492297047 selected=False
step=1420 train_mse=0.185866567776 penalty_total=0.000401065557211 validation_clean_nrmse=1.00858491936 selected=False
step=1440 train_mse=0.184775543484 penalty_total=0.000371078897161 validation_clean_nrmse=1.0070016792 selected=False
step=1460 train_mse=0.186410894134 penalty_total=0.000346911165007 validation_clean_nrmse=1.00774462341 selected=False
step=1480 train_mse=0.179707119396 penalty_total=0.000340924382095 validation_clean_nrmse=1.01015588181 selected=False
step=1500 train_mse=0.181186563481 penalty_total=0.00028370559884 validation_clean_nrmse=1.00697826388 selected=False
step=1520 train_mse=0.178283933655 penalty_total=0.000265229992886 validation_clean_nrmse=1.00573570384 selected=False
step=1540 train_mse=0.183079158467 penalty_total=0.000237879332621 validation_clean_nrmse=1.00538970169 selected=False
