run=seed_2718_null_e4_null arm=E4_NULL device=cuda:0 dtype=float64 parameters=361 max_steps=2000
step=20 train_mse=0.173816477228 penalty_total=0.00187216185911 validation_clean_nrmse=1.00038121543 selected=True
step=40 train_mse=0.173695078135 penalty_total=0.00187049501597 validation_clean_nrmse=0.999406968486 selected=False
step=60 train_mse=0.1827823448 penalty_total=0.00187540126927 validation_clean_nrmse=0.998807884548 selected=False
step=80 train_mse=0.176156636215 penalty_total=0.00189798393292 validation_clean_nrmse=0.997982991968 selected=False
step=100 train_mse=0.174711272141 penalty_total=0.00188580134993 validation_clean_nrmse=0.998173987722 selected=False
step=120 train_mse=0.169948830786 penalty_total=0.00188941505827 validation_clean_nrmse=0.998650565307 selected=False
step=140 train_mse=0.174385735792 penalty_total=0.00189302271515 validation_clean_nrmse=0.999134389975 selected=False
step=160 train_mse=0.175811605517 penalty_total=0.00188571925017 validation_clean_nrmse=0.998569025259 selected=False
step=180 train_mse=0.174620169552 penalty_total=0.00189212203867 validation_clean_nrmse=0.998711228528 selected=False
step=200 train_mse=0.168022445174 penalty_total=0.00188901314356 validation_clean_nrmse=0.998568221219 selected=False
step=220 train_mse=0.177477998286 penalty_total=0.00189354276082 validation_clean_nrmse=0.998620618154 selected=False
step=240 train_mse=0.174227372578 penalty_total=0.0018898404295 validation_clean_nrmse=0.998968784137 selected=False
step=260 train_mse=0.179850371618 penalty_total=0.00188818504853 validation_clean_nrmse=0.998888719418 selected=False
step=280 train_mse=0.179973016837 penalty_total=0.00186976120386 validation_clean_nrmse=0.999530924415 selected=False
step=300 train_mse=0.182597553724 penalty_total=0.00185157727839 validation_clean_nrmse=0.999024679411 selected=False
step=320 train_mse=0.174503143994 penalty_total=0.00184443309875 validation_clean_nrmse=0.999199567281 selected=False
step=340 train_mse=0.173325297014 penalty_total=0.00184752886158 validation_clean_nrmse=0.999157273253 selected=False
step=360 train_mse=0.17229640745 penalty_total=0.0018567209435 validation_clean_nrmse=0.998855778624 selected=False
step=380 train_mse=0.169910353729 penalty_total=0.00183773075807 validation_clean_nrmse=0.999927434749 selected=False
step=400 train_mse=0.177900528938 penalty_total=0.00184861798201 validation_clean_nrmse=0.99985531112 selected=False
step=420 train_mse=0.180005921716 penalty_total=0.00179504569392 validation_clean_nrmse=1.0000029393 selected=False
step=440 train_mse=0.184854936109 penalty_total=0.00179275309472 validation_clean_nrmse=0.999783889581 selected=False
step=460 train_mse=0.177315277362 penalty_total=0.00182791858284 validation_clean_nrmse=0.999319456108 selected=False
step=480 train_mse=0.172997498498 penalty_total=0.00177785123237 validation_clean_nrmse=0.999726737654 selected=False
step=500 train_mse=0.178208353187 penalty_total=0.00176488626421 validation_clean_nrmse=1.00092348029 selected=False
step=520 train_mse=0.180634784589 penalty_total=0.00179035363233 validation_clean_nrmse=0.999899377529 selected=False
step=540 train_mse=0.175573722985 penalty_total=0.00178630211189 validation_clean_nrmse=0.999711303778 selected=False
step=560 train_mse=0.177612589075 penalty_total=0.00173582968607 validation_clean_nrmse=1.00062898066 selected=False
step=580 train_mse=0.178485137054 penalty_total=0.00174495971776 validation_clean_nrmse=1.00063069718 selected=False
step=600 train_mse=0.176853847856 penalty_total=0.00175342781976 validation_clean_nrmse=1.00069995949 selected=False
step=620 train_mse=0.177121633985 penalty_total=0.00172780389275 validation_clean_nrmse=1.00147100511 selected=False
step=640 train_mse=0.176597426489 penalty_total=0.00167985534564 validation_clean_nrmse=1.00055385163 selected=False
step=660 train_mse=0.175971728804 penalty_total=0.00164532892086 validation_clean_nrmse=1.00064574809 selected=False
step=680 train_mse=0.175250999199 penalty_total=0.00162197782747 validation_clean_nrmse=1.00085707885 selected=False
step=700 train_mse=0.17530278015 penalty_total=0.0016127096689 validation_clean_nrmse=1.00167116687 selected=False
step=720 train_mse=0.177212667611 penalty_total=0.00157524591645 validation_clean_nrmse=1.00113517437 selected=False
step=740 train_mse=0.178951413583 penalty_total=0.00156393752131 validation_clean_nrmse=1.00167563234 selected=False
step=760 train_mse=0.175529115314 penalty_total=0.00156334700277 validation_clean_nrmse=1.00055474537 selected=False
step=780 train_mse=0.174528976209 penalty_total=0.00148943670313 validation_clean_nrmse=1.001185567 selected=False
step=800 train_mse=0.180550282652 penalty_total=0.00151209681888 validation_clean_nrmse=1.00050275941 selected=False
step=820 train_mse=0.175699832919 penalty_total=0.00142615697582 validation_clean_nrmse=1.00159812802 selected=False
step=840 train_mse=0.17378919218 penalty_total=0.00139372503678 validation_clean_nrmse=1.00159915302 selected=False
step=860 train_mse=0.180168253304 penalty_total=0.00139415581115 validation_clean_nrmse=1.00140198733 selected=False
step=880 train_mse=0.172215960622 penalty_total=0.00136967513836 validation_clean_nrmse=1.00187133445 selected=False
step=900 train_mse=0.173917253582 penalty_total=0.00134295067483 validation_clean_nrmse=1.00218496197 selected=False
