date,daily_excess_return,cumulative_excess_return
2022-01-04,0.004574596881866455,0.004574596881866455
2022-01-05,-0.0015775481853038075,0.0029970486965626474
2022-01-06,0.0029948299165028966,0.005991878613065544
2022-01-07,-0.007490987695752246,-0.0014991090826867023
2022-01-10,0.003938515846183394,0.002439406763496692
2022-01-11,-0.005097050156554878,-0.002657643393058186
2022-01-12,0.009249057223192098,0.006591413830133912
2022-01-13,-0.003448198767084176,0.003143215063049736
2022-01-14,0.0018815484177598322,0.005024763480809568
2022-01-17,-0.002142510118443114,0.002882253362366454
2022-01-18,0.002002065088484716,0.00488431845085117
2022-01-19,-0.0038623473624265683,0.0010219710884246018
2022-01-20,-0.012624333156117272,-0.011602362067692669
2022-01-21,-0.002118089141712586,-0.013720451209405255
2022-01-24,0.0005002362927598761,-0.013220214916645379
2022-01-25,-0.006219427837851616,-0.019439642754496993
2022-01-26,-0.004925152556596164,-0.024364795311093156
2022-01-27,-0.006142552076347892,-0.03050734738744105
2022-01-28,0.010518865623756755,-0.019988481763684292
2022-02-07,-0.004879729042807863,-0.024868210806492156
2022-02-08,0.0077850446258893695,-0.017083166180602787
2022-02-09,-7.364455748927511e-05,-0.01715681073809206
2022-02-10,-0.001796477746258982,-0.018953288484351044
2022-02-11,-0.010532567487438466,-0.02948585597178951
2022-02-14,0.00395646654966143,-0.02552938942212808
2022-02-15,0.015165602720384986,-0.010363786701743092
2022-02-16,-0.0013901176676539022,-0.011753904369396995
2022-02-17,-0.0047653141642481885,-0.016519218533645182
2022-02-18,-0.0010458457139047976,-0.01756506424754998
2022-02-21,0.010954050641107816,-0.006611013606442163
2022-02-22,-0.0063682468082185036,-0.012979260414660666
2022-02-23,0.00480675353757729,-0.008172506877083376
2022-02-24,-0.005708614651037273,-0.013881121528120648
2022-02-25,-0.0017558584790210133,-0.01563698000714166
2022-02-28,-0.007222704476542309,-0.02285968448368397
2022-03-01,-0.001080598497437658,-0.02394028298112163
2022-03-02,0.004082146916039511,-0.01985813606508212
2022-03-03,0.002815236960258929,-0.01704289910482319
2022-03-04,0.0026585357107307456,-0.014384363394092443
2022-03-07,-0.0005899940295119358,-0.01497435742360438
2022-03-08,-0.005399624486744913,-0.020373981910349292
2022-03-09,-0.0045287873962048236,-0.024902769306554114
2022-03-10,-0.002709060412150577,-0.02761182971870469
2022-03-11,0.01626693784753801,-0.01134489187116668
2022-03-14,0.008326072252253429,-0.0030188196189132512
2022-03-15,-0.007543130453223581,-0.010561950072136832
2022-03-16,-0.0056534896802101315,-0.016215439752346964
2022-03-17,0.004517170990033789,-0.011698268762313176
2022-03-18,0.0014880948737814083,-0.010210173888531767
2022-03-21,-0.0007760905881080791,-0.010986264476639846
2022-03-22,0.0005972521900115093,-0.010389012286628337
2022-03-23,0.0012928364632109647,-0.009096175823417372
2022-03-24,-0.004959610394278231,-0.014055786217695604
2022-03-25,0.002309693473637623,-0.011746092744057982
2022-03-28,0.001445673574121798,-0.010300419169936183
2022-03-29,-0.011947643642069045,-0.022248062812005226
2022-03-30,0.00023232165711413008,-0.022015741154891095
2022-03-31,-0.0037650564783687757,-0.02578079763325987
2022-04-01,-0.00057456831712113,-0.026355365950380998
2022-04-06,-0.005102691339061294,-0.031458057289442294
2022-04-07,-0.0028243436738638102,-0.034282400963306106
2022-04-08,-0.005189775040030197,-0.0394721760033363
2022-04-11,-0.007766726961683896,-0.047238902965020195
2022-04-12,0.006264102696565826,-0.04097480026845437
2022-04-13,-0.006808025629944805,-0.047782825898399175
2022-04-14,-0.0020009044303177645,-0.04978373032871694
2022-04-15,0.0026662526585778347,-0.04711747767013911
2022-04-18,0.019572594241301235,-0.027544883428837874
2022-04-19,-0.001570304947379373,-0.02911518837621725
2022-04-20,0.0046123357726039664,-0.024502852603613283
2022-04-21,-0.012276431101769845,-0.03677928370538313
2022-04-22,-0.015211390296214896,-0.05199067400159803
2022-04-25,-0.020148620391982192,-0.07213929439358022
2022-04-26,-0.007490860456612502,-0.07963015485019272
2022-04-27,0.01988910919906425,-0.05974104565112846
2022-04-28,-0.011836355265620829,-0.07157740091674929
2022-04-29,0.02529368921847547,-0.04628371169827382
2022-05-05,0.012269703003438664,-0.03401400869483515
2022-05-06,0.004518516155265612,-0.02949549253956954
2022-05-09,0.0064068293663091256,-0.023088663173260415
2022-05-10,-0.00011148833576838646,-0.0232001515090288
2022-05-11,0.004604890611297759,-0.01859526089773104
2022-05-12,-0.00041288312700793185,-0.019008144024738972
2022-05-13,0.0011637055428266553,-0.017844438481912316
2022-05-16,0.008017085115704984,-0.009827353366207332
2022-05-17,-0.009371808174551726,-0.01919916154075906
2022-05-18,0.0007259322401176031,-0.018473229300641457
2022-05-19,-0.005483009355546627,-0.023956238656188084
2022-05-20,0.003586705484060971,-0.020369533172127113
2022-05-23,0.0068597104374788385,-0.013509822734648274
2022-05-24,0.0019652950338686585,-0.011544527700779616
2022-05-25,0.002808271081685496,-0.00873625661909412
2022-05-26,0.0009064040338154216,-0.007829852585278697
2022-05-27,0.0018415878542120284,-0.005988264731066669
2022-05-30,-0.0018886109095044461,-0.007876875640571115
2022-05-31,0.001053530216183319,-0.006823345424387796
2022-06-01,0.00017866969542132887,-0.006644675728966467
2022-06-02,-0.001536135974961284,-0.00818081170392775
2022-06-06,-0.014318989039048597,-0.022499800742976347
2022-06-07,0.00705822298639773,-0.015441577756578617
2022-06-08,-0.0040405055273319895,-0.019482083283910608
2022-06-09,0.011204782055663626,-0.008277301228246981
2022-06-10,-0.007102335953179815,-0.015379637181426795
2022-06-13,-0.0019111707128209546,-0.01729080789424775
2022-06-14,0.0013573997117213006,-0.01593340818252645
2022-06-15,0.011294749159751313,-0.004638659022775136
2022-06-16,0.004077046039377521,-0.0005616129833976146
2022-06-17,-0.010692979397191146,-0.011254592380588761
2022-06-20,0.0028622729282930517,-0.00839231945229571
2022-06-21,0.0017499216393433814,-0.006642397812952328
2022-06-22,-0.005480425232665273,-0.012122823045617601
2022-06-23,-0.00847960002260836,-0.02060242306822596
2022-06-24,-0.007974086568986426,-0.028576509637212387
2022-06-27,-0.006205315772616119,-0.03478182540982851
2022-06-28,-0.0006021806718862655,-0.03538400608171477
2022-06-29,0.009034861361507147,-0.02634914472020762
2022-06-30,-0.010883036469514426,-0.03723218118972205
2022-07-01,0.003276355047390274,-0.03395582614233177
2022-07-04,-0.0013022146763950985,-0.03525804081872687
2022-07-05,-0.002519683253383778,-0.03777772407211065
2022-07-06,0.004819261594879759,-0.03295846247723089
2022-07-07,-0.006409270706601889,-0.03936773318383278
2022-07-08,0.00513213264379671,-0.03423560054003607
2022-07-11,0.0076589401557332565,-0.026576660384302814
2022-07-12,0.007385007049311361,-0.019191653334991454
2022-07-13,-0.004047328347681374,-0.023238981682672827
2022-07-14,-0.003505023867089829,-0.026744005549762657
2022-07-15,-0.001445412793008396,-0.028189418342771052
2022-07-18,0.009517861992542972,-0.01867155635022808
2022-07-19,0.010218425160346094,-0.008453131189881988
2022-07-20,-0.0009172608522215839,-0.009370392042103572
2022-07-21,0.0031907043769415517,-0.006179687665162021
2022-07-22,-0.006771485445157958,-0.012951173110319979
2022-07-25,0.005223593835457958,-0.00772757927486202
2022-07-26,-2.6080264751298732e-05,-0.007753659539613319
2022-07-27,0.00034385437986905255,-0.007409805159744267
2022-07-28,0.0034983444261205594,-0.003911460733623707
2022-07-29,-0.002247004110875534,-0.006158464844499241
2022-08-01,-0.001278593204735618,-0.007437058049234859
2022-08-02,-0.00639587418307004,-0.0138329322323049
2022-08-03,0.005559384704134173,-0.008273547528170727
2022-08-04,0.00445136029510428,-0.0038221872330664467
2022-08-05,0.005286090530383445,0.0014639032973169982
2022-08-08,0.0019978584669767953,0.0034617617642937934
2022-08-09,-0.002934638314920313,0.0005271234493734803
2022-08-10,0.0020691316552588945,0.002596255104632375
2022-08-11,0.004600121889605142,0.007196376994237516
2022-08-12,0.005473772612939568,0.012670149607177085
2022-08-15,-0.006149537721224628,0.006520611885952457
2022-08-16,0.0035785416729976604,0.010099153558950118
2022-08-17,0.0029783225472244414,0.01307747610617456
2022-08-18,-0.0024474460657763534,0.010630030040398206
